record.timestamp[s],record.distance[m],record.enhanced_altitude[m],record.cycle_length16[m],record.heart_rate[bpm],record.cadence[rpm],record.fractional_cadence[rpm],record.unknown,record.developer.0.Current Sound Value,record.developer.0.Maximum Sound Threshold,record.developer.0.Current Temperature Value,record.developer.0.Maximum Temperature Threshold,record.developer.0.Minimum Temperature Threshold,record.position_lat[semicircles],record.position_long[semicircles],record.enhanced_speed[m/s],
"1079980563","0.0","1155.8","0.0","84","0","0.0","52","43","80","25.897268","20.0","35.0",
"1079980564","0.0","1155.6","0.0","93","0","0.0","52","42","80","25.897268","20.0","35.0",
"1079980565","0.0","1155.6","0.0","97","0","0.0","52","57","80","25.90734","20.0","35.0",
"1079980566","0.0","1155.6","0.0","97","0","0.0","52","47","80","25.90734","20.0","35.0",
"1079980567","0.0","1155.6","0.0","96","0","0.0","52","47","80","25.917412","20.0","35.0",
"1079980568","0.0","1155.6","0.0","96","0","0.0","52","41","80","25.937553","20.0","35.0",
"1079980569","0.0","1155.6","0.0","95","0","0.0","52","42","80","25.937553","20.0","35.0",
"1079980570","0.0","1155.4","0.0","94","0","0.0","52","44","80","25.947626","20.0","35.0",
"1079980571","0.0","1155.4","0.0","94","0","0.0","52","43","80","25.947626","20.0","35.0",
"1079980572","0.0","1155.4","0.0","93","0","0.0","52","49","80","25.97784","20.0","35.0",
"1079980573","0.0","1155.4","0.0","93","0","0.0","52","42","80","25.987911","20.0","35.0",
"1079980574","0.0","1155.4","0.0","93","0","0.0","52","49","80","25.997982","20.0","35.0",
"1079980575","0.0","1155.4","0.0","94","0","0.0","52","64","80","26.018126","20.0","35.0",
"1079980576","0.0","1155.4","0.0","94","0","0.0","52","57","80","26.028196","20.0","35.0",
"1079980577","0.0","1155.4","0.0","95","0","0.0","52","98","80","26.219553","20.0","35.0",
"1079980579","0.0","1155.4","339.72","94","0","0.0","52","72","80","26.179268","20.0","35.0",
"1079980580","0.0","1155.4","339.92","93","0","0.0","52","61","80","26.169197","20.0","35.0",
